what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1328809018292
started,bundle,org.eclipse.core.externaltools,1.0.100.v20110506,"org.eclipse.core.externaltools",1328809018344
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328809029974
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.properties",1328809030010
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328809030589
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328809032426
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328809033567
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328809036683
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328809037072
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328809038331
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328809048321
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328809048433
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328809062233
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328809191565
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328809197940
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328809288418
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328809290047
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328809290936
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328809307070
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328809327595
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328809328755
